ERROR 2015-05-22 11:12:51,991 29524ms HomeController         mportDataFromExcel - -------------------ERROR LOG -----------------
ERROR 2015-05-22 11:12:52,007 29539ms HomeController         mportDataFromExcel - Column 'Name' does not allow DBNull.Value.
ERROR 2015-05-22 11:12:52,007 29539ms HomeController         mportDataFromExcel - -----------------END OF ERROR LOG-----------------
ERROR 2015-05-22 11:23:17,712 655245ms HomeController         mportDataFromExcel - -------------------ERROR LOG -----------------
ERROR 2015-05-22 11:23:17,712 655245ms HomeController         mportDataFromExcel - The Microsoft Jet database engine cannot open the file ''.  It is already opened exclusively by another user, or you need permission to view its data.
ERROR 2015-05-22 11:23:17,712 655245ms HomeController         mportDataFromExcel - -----------------END OF ERROR LOG-----------------
ERROR 2015-05-22 11:47:34,310  4894ms HomeController         mportDataFromExcel - -------------------ERROR LOG -----------------
ERROR 2015-05-22 11:47:34,334  4918ms HomeController         mportDataFromExcel - Column 'Name' does not allow DBNull.Value.
ERROR 2015-05-22 11:47:34,335  4919ms HomeController         mportDataFromExcel - -----------------END OF ERROR LOG-----------------
ERROR 2015-05-22 11:56:00,312 194718ms HomeController         mportDataFromExcel - -------------------ERROR LOG -----------------
ERROR 2015-05-22 11:56:00,327 194734ms HomeController         mportDataFromExcel - Column 'Name' does not allow DBNull.Value.
ERROR 2015-05-22 11:56:00,327 194734ms HomeController         mportDataFromExcel - -----------------END OF ERROR LOG-----------------
ERROR 2015-05-22 11:57:25,394 11891ms HomeController         xcelToPricingTable - -------------------ERROR LOG -----------------
ERROR 2015-05-22 11:57:25,409 11907ms HomeController         xcelToPricingTable - No value given for one or more required parameters.
ERROR 2015-05-22 11:57:25,409 11907ms HomeController         xcelToPricingTable - -----------------END OF ERROR LOG-----------------
ERROR 2015-05-22 12:09:26,228 242392ms HomeController         xcelToPricingTable - -------------------ERROR LOG -----------------
ERROR 2015-05-22 12:09:26,244 242407ms HomeController         xcelToPricingTable - No value given for one or more required parameters.
ERROR 2015-05-22 12:09:26,244 242407ms HomeController         xcelToPricingTable - -----------------END OF ERROR LOG-----------------
ERROR 2015-05-22 12:21:20,349  3375ms HomeController         ResizeImages       - -------------------ERROR LOG -----------------
